Members_id ,congress,Chamber_id,chamber,Bioguide_id,bioguide,firstname,middlename,lastname,suffix,birthday,State_id,state,Party_id,party,incumbent,termstart,age
656,80,1,House,556,B001096,Raymond,Hugh,Burke,,1881-11-04,35,OH,2,R,No,1/3/1947,65.2
657,80,1,House,557,R000082,Samuel,Taliaferro,Rayburn,,1882-01-06,43,TX,1,D,Yes,1/3/1947,65
658,80,1,House,558,N000135,Fred,Barthold,Norman,,1882-03-21,47,WA,2,R,No,1/3/1947,64.8
659,80,1,House,559,R000056,John,Elliott,Rankin,,1882-03-29,24,MS,1,D,Yes,1/3/1947,64.8
660,80,1,House,560,C000439,Jerome,Bayard,Clark,,1882-04-05,26,NC,1,D,Yes,1/3/1947,64.7
661,80,1,House,561,s000755,Raymond,Smiley,Springer,,1882-04-26,14,IN,2,R,Yes,1/3/1947,64.7
662,80,1,House,562,M000224,Noah,Morgan,Mason,,1882-07-19,13,IL,2,R,Yes,1/3/1947,64.5
663,80,1,House,563,H000356,Franck,Roberts,Havenner,,1882-09-20,5,CA,1,D,Yes,1/3/1947,64.3
664,80,1,House,564,S000554,Howard,Worth,Smith,,1883-02-02,45,VA,1,D,Yes,1/3/1947,63.9
665,80,1,House,565,B001056,Alfred,Lee,Bulwinkle,,1883-04-21,26,NC,1,D,Yes,1/3/1947,63.7
666,80,1,House,566,C000390,Ralph,Edwin,Church,,1883-05-05,13,IL,2,R,Yes,1/3/1947,63.7
667,80,1,House,567,R000209,Robert,Fleming,Rich,,1883-06-23,38,PA,2,R,Yes,1/3/1947,63.5
668,80,1,House,568,K000058,Augustine,Bernard,Kelley,,1883-07-09,38,PA,1,D,Yes,1/3/1947,63.5
669,80,1,House,569,V000105,Carl,,Vinson,,1883-11-18,10,GA,1,D,Yes,1/3/1947,63.1
670,80,1,house,570,D000411,George,Anthony,Dondero,,1883-12-16,21,MI,2,R,Yes,1/3/1947,63
671,80,1,house,571,C000268,E.,Wallace,Chadwick,,1884-01-17,38,PA,2,R,No,1/3/1947,63
672,80,1,house,572,S000845,Karl,,Stefan,,1884-03-01,28,NE,2,R,Yes,1/3/1947,62.8
673,80,1,house,573,G000541,Ralph,Waldo,Gwinn,,1884-03-29,34,NY,2,R,Yes,1/3/1947,62.8
674,80,1,house,574,J000264,Bartel,John,Jonkman,,1884-04-28,21,MI,2,R,Yes,1/3/1947,62.7
675,80,1,house,575,B000750,Willis,Winter,Bradley,,1884-06-28,5,CA,2,R,No,1/3/1947,62.5
676,80,1,house,576,S000536,Frederick,Cleveland,Smith,,1884-07-29,35,OH,2,R,Yes,1/3/1947,62.4
677,80,1,House,577,J000224,Hamilton,Chamberlain,Jones,,1884-09-26,26,NC,1,D,No,1/3/1947,62.3
678,80,1,house,578,M000191,Joseph,William,Martin,Jr.,1884-11-03,18,MA,2,R,Yes,1/3/1947,62.2
679,80,1,house,579,L000251,John,,Lesinski,,1885-01-03,21,MI,1,D,Yes,1/3/1947,62
680,80,1,house,580,S000335,Harry,Richard,Sheppard,,1885-01-10,5,CA,1,D,Yes,1/3/1947,62
681,80,1,house,581,B000332,Charles,Jasper,Bell,,1885-01-16,23,MO,1,D,Yes,1/3/1947,62
682,80,1,house,582,A000227,James,Coats,Auchincloss,,1885-01-19,30,NJ,2,R,Yes,1/3/1947,62
683,80,1,house,583,W000699,John,Stephens,Wood,,1885-02-08,10,GA,1,D,Yes,1/3/1947,61.9
684,80,1,house,584,F000191,John,William,Flannagan,Jr.,1885-02-20,45,VA,1,D,Yes,1/3/1947,61.9
685,80,1,house,585,B000725,Frank,William,Boykin,,1885-02-21,2,AL,1,D,Yes,1/3/1947,61.9
686,80,1,house,586,B000607,Frances,Payne,Bolton,,1885-03-29,35,OH,2,R,Yes,1/3/1947,61.8
687,80,1,house,587,M001081,John,Robert,Murdock,,1885-04-20,4,AZ,1,D,Yes,1/3/1947,61.7
688,80,1,house,588,G000031,Ralph,Abernethy,Gamble,,1885-05-06,33,NW,2,R,Yes,1/3/1947,61.7
689,80,1,house,589,T000263,Harve,,Tibbott,,1885-05-27,38,PA,2,R,Yes,1/3/1947,61.6
690,80,1,house,590,C000515,Cliff,,Clevenger,,1885-08-20,35,OH,2,R,Yes,1/3/1947,61.4
691,80,1,house,591,S000029,John,Carfield,Sanborn,,1885-09-28,12,ID,2,R,No,1/3/1947,61.3
692,80,1,house,592,C000529,Roy,,Clippinger,,1886-01-13,13,IL,2,R,Yes,1/3/1947,61
693,80,1,house,593,H000613,William,Silas,Hill,,1886-01-20,6,CO,2,R,Yes,1/3/1947,61
694,80,1,house,594,R000369,Robert,Fay,Rockwell,,1886-02-11,6,CO,2,R,Yes,1/3/1947,60.9
695,80,1,house,595,D000158,William,Levi,Dawson,,1886-04-26,13,IL,1,D,Yes,1/3/1947,60.7
696,80,1,House,596,r000132,Edward,Herbert,Rees,,1886-06-03,15,KS,2,R,Yes,1/3/1947,60.6
697,80,1,House,597,S000155,George,Blaine,Schwabe,,1886-07-26,36,OK,2,R,Yes,1/3/1947,60.4
698,80,1,house,598,r000391,Dwight,Laing,Rogers,,1886-08-17,9,FL,1,D,Yes,1/3/1947,60.4
699,80,1,House,599,M000680,Herbert,Alton,Meyer,,1886-08-30,15,KS,2,R,No,1/3/1947,60.3
700,80,1,house,600,g000332,Martin,,Gorski,,1886-10-30,13,IL,1,D,Yes,1/3/1947,60.2
701,80,1,House,601,K000244,Michael,Joseph,Kirwan,,1886-12-02,35,OH,1,D,Yes,1/3/1947,60.1
702,80,1,House,602,b001148,Clarence,Godber,Burton,,1886-12-14,45,VA,1,D,No,1/3/1947,60.1
703,80,1,House,603,L000279,Earl,Ramage,Lewis,,1887-02-22,35,OH,2,R,Yes,1/3/1947,59.9
704,80,1,House,604,L000157,Karl,Miles,Le Compte,,1887-05-25,12,IA,2,R,Yes,1/3/1947,59.6
705,80,1,House,605,B001179,John,Cornelius,Butler,,1887-07-02,33,NW,2,R,Yes,1/3/1947,59.5
706,80,1,House,606,E000135,Hubert,Summers,Ellis,,1887-07-06,49,WV,2,R,Yes,1/3/1947,59.5
707,80,1,House,607,J000165,Noble,Jacob,Johnson,,1887-08-23,14,IN,2,R,Yes,1/3/1947,59.4
708,80,1,House,608,p000309,John,,Phillips,,1887-09-11,5,CA,2,R,Yes,1/3/1947,59.3
709,80,1,House,609,K000041,Frank,Bateman,Keefe,,1887-09-23,48,WI,2,R,Yes,1/3/1947,59.3
710,80,1,House,610,m001062,Frederick,Augustus,Muhlenberg,,1887-09-25,38,PA,2,R,No,1/3/1947,59.3
711,80,1,House,611,H000663,Samuel,Francis,Hobbs,,1887-10-05,2,AL,1,D,Yes,1/3/1947,59.2
712,80,1,house,612,M001112,Reid,Fred,Murray,,1887-10-16,48,WI,2,R,Yes,1/3/1947,59.2
713,80,1,house,613,E000178,Albert,Joseph,Engel,,1888-01-01,21,MI,2,R,Yes,1/3/1947,59
714,80,1,House,614,R000083,Leo,Frederick,Rayfiel,,1888-03-22,34,NY,1,D,Yes,1/3/1947,58.8
715,80,1,house,615,J000157,Justin,Leroy,Johnson,,1888-04-08,5,CA,2,R,Yes,1/3/1947,58.7
716,80,1,house,616,C000889,Fred,Lewis,Crawford,,1888-05-05,21,MI,2,R,Yes,1/3/1947,58.7
717,80,1,House,617,C000264,Emanuel,,Celler,,1888-05-06,34,NY,1,D,Yes,1/3/1947,58.7
718,80,1,House,618,w000304,Milton,Horace,West,,1888-06-30,43,TX,1,D,Yes,1/3/1947,58.5
719,80,1,house,619,N000097,Donald,William,Nicholson,,1888-08-11,18,MA,2,R,No,1/3/1947,58.4
720,80,1,house,620,M000442,Robert,Neill,McGarvey,,1888-08-14,38,PA,2,R,No,1/3/1947,58.4
721,80,1,House,621,L000077,Henderson,Lovelace,Lanham,,1888-09-14,10,GA,1,D,No,1/3/1947,58.3
722,80,1,House,622,G000379,Walter,Keil,Granger,,1888-10-11,44,UT,1,D,Yes,1/3/1947,58.2
723,80,1,house,623,G000493,Chester,Heilman,Gross,,1888-10-13,38,PA,2,R,Yes,1/3/1947,58.2
724,80,1,House,624,H000443,James,Joseph,Heffernan,,1888-11-08,34,NY,1,D,Yes,1/3/1947,58.1
725,80,1,house,625,K000030,Bernard,William,Kearney,,1889-05-23,34,NY,2,R,Yes,1/3/1947,57.6
726,80,1,House,626,C000655,Jesse,Martin,Combs,,1889-07-07,43,TX,1,D,Yes,1/3/1947,57.5
727,80,1,house,627,A000250,Walter,Gresham,Andrews,,1889-07-16,34,NY,2,R,Yes,1/3/1947,57.5
728,80,1,house,628,F000075,Ivor,David,Fenton,,1889-08-03,38,PA,2,R,Yes,1/3/1947,57.4
729,80,1,house,629,R000319,Charles,Raymond,Robertson,,1889-09-05,27,ND,2,R,Yes,1/3/1947,57.3
730,80,1,House,630,C000810,William,Wirt,Courtney,,1889-09-07,42,TN,1,D,Yes,1/3/1947,57.3
731,80,1,house,631,D000281,Wesley,Abner,D'Ewart,,1889-10-01,25,MT,2,R,Yes,1/3/1947,57.3
732,80,1,house,632,G000543,John,Williams,Gwynne,,1889-10-20,12,IA,2,R,Yes,1/3/1947,57.2
733,80,1,house,633,F000066,Frank,,Fellows,,1889-11-07,20,ME,2,R,Yes,1/3/1947,57.2
734,80,1,house,634,M000037,William,Kingsland,Macy,,1889-11-21,34,NY,2,R,No,1/3/1947,57.1
735,80,1,house,635,H000036,Robert,,Hale,,1889-11-29,20,ME,2,R,Yes,1/3/1947,57.1
736,80,1,House,636,C000645,William,Meyers,Colmer,,1890-02-11,24,MS,1,D,Yes,1/3/1947,56.9
737,80,1,house,637,G000111,Bertrand,Wesley,Gearhart,,1890-05-31,5,CA,2,R,Yes,1/3/1947,56.6
738,80,1,house,638,R000111,Chauncey,William,Reed,,1890-06-02,13,IL,2,R,Yes,1/3/1947,56.6
739,80,1,house,639,C000993,Paul,Harvey,Cunningham,,1890-06-15,12,IA,2,R,Yes,1/3/1947,56.6
740,80,1,House,640,B001024,Charles,Anthony,Buckley,,1890-06-23,34,NY,1,D,Yes,1/3/1947,56.5
741,80,1,house,641,B000486,Cecil,William,Bishop,,1890-06-29,13,IL,2,R,Yes,1/3/1947,56.5
742,80,1,House,642,L000095,Henry,Dominique,Larcade,Jr.,1890-07-12,17,LA,1,D,Yes,1/3/1947,56.5
743,80,1,House,643,S000797,Thomas,Bahnson,Stanley,,1890-07-16,45,VA,1,D,Yes,1/3/1947,56.5
744,80,1,House,644,M000233,Frank,Asbury,Mathews,Jr.,1890-08-03,30,NJ,2,R,Yes,1/3/1947,56.4
745,80,1,House,645,C000473,Charles,Russell,Clason,,1890-09-03,18,MA,2,R,Yes,1/3/1947,56.3
746,80,1,House,646,A000239,August,Herman,Andresen,,1890-10-11,22,MN,2,R,Yes,1/3/1947,56.2
747,80,1,House,647,A000114,Asa,Leonard,Allen,,1891-01-05,17,LA,1,D,Yes,1/3/1947,56
748,80,1,House,648,M000727,George,Paul,Miller,,1891-01-15,5,CA,1,D,Yes,1/3/1947,56
749,80,1,House,649,B000232,George,Joseph,Bates,,1891-02-25,18,MA,2,R,Yes,1/3/1947,55.9
750,80,1,House,650,R000022,Homer,Alonzo,Ramey,,1891-03-02,35,OH,2,R,Yes,1/3/1947,55.8
751,80,1,House,651,P000002,Stephen,,Pace,,1891-03-09,10,GA,1,D,Yes,1/3/1947,55.8
752,80,1,House,652,W000450,Richard,Bowditch,Wigglesworth,,1891-04-25,18,MA,2,R,Yes,1/3/1947,55.7
753,80,1,House,653,B000621,Herbert,Covington,Bonner,,1891-05-16,26,NC,1,D,Yes,1/3/1947,55.6
754,80,1,House,654,M000021,Russell,Vernon,Mack,,1891-06-13,47,WA,2,R,No,1/3/1947,55.6
755,80,1,House,655,S000923,William,Grady,Stigler,,1891-07-07,36,OK,1,D,Yes,1/3/1947,55.5
756,80,1,House,656,E000160,Charles,Henry,Elston,,1891-08-01,35,OH,2,R,Yes,1/3/1947,55.4
757,80,1,House,657,W000252,Alvin,F.,Weichel,,1891-09-11,35,OH,2,R,Yes,1/3/1947,55.3
758,80,1,House,658,S000896,William,Henry,Stevenson,,1891-09-23,48,WI,2,R,Yes,1/3/1947,55.3
759,80,1,House,659,B000119,Parke,Monroe,Banta,,1891-11-21,23,MO,2,R,No,1/3/1947,55.1
760,80,1,house,660,M000364,John,William,McCormack,,1891-12-21,18,MA,1,D,Yes,1/3/1947,55
761,80,1,House,661,T000028,Henry,Oscar,Talle,,1892-01-12,12,IA,2,R,Yes,1/3/1947,55
762,80,1,house,662,P000285,Joseph,Lawrence,Pfeifer,,1892-02-06,34,NY,1,D,Yes,1/3/1947,54.9
763,80,1,house,663,M000039,Ray,John,Madden,,1892-02-25,14,IN,1,D,Yes,1/3/1947,54.9
764,80,1,house,664,G000091,Julian,Vaughan,Gary,,1892-02-25,45,VA,1,D,Yes,1/3/1947,54.9
765,80,1,house,665,E000029,Herman,Peter,Eberharter,,1892-04-29,38,PA,1,D,Yes,1/3/1947,54.7
766,80,1,house,666,M000715,Arthur,Lewis,Miller,,1892-05-24,28,NE,2,R,Yes,1/3/1947,54.6
767,80,1,house,667,B000794,Walter,Ellsworth,Brehm,,1892-05-25,35,OH,2,R,Yes,1/3/1947,54.6
768,80,1,house,668,B001016,Ellsworth,Brewer,Buck,,1892-07-03,34,NY,2,R,Yes,1/3/1947,54.5
769,80,1,house,669,R000288,Ross,,Rizley,,1892-07-05,36,OK,2,R,Yes,1/3/1947,54.5
770,80,1,house,670,C000070,Albert,Sidney,Camp,,1892-07-26,10,GA,1,D,Yes,1/3/1947,54.4
771,80,1,house,671,D000571,Carl,Thomas,Durham,,1892-08-28,26,NC,1,D,Yes,1/3/1947,54.3
772,80,1,house,672,S000585,Lawrence,Henry,Smith,,1892-09-15,48,WI,2,R,Yes,1/3/1947,54.3
773,80,1,house,673,S000640,Wint,,Smith,,1892-10-07,15,KS,2,R,No,1/3/1947,54.2
774,80,1,house,674,J000058,Peterson,Bryant,Jarman,,1892-10-31,2,AL,1,D,Yes,1/3/1947,54.2
775,80,1,house,675,B000176,Frank,Aloysius,Barrett,,1892-11-10,50,WY,2,R,Yes,1/3/1947,54.1
776,80,1,house,676,J000100,Benton,Franklin,Jensen,,1892-12-16,12,IA,2,R,Yes,1/3/1947,54
777,80,1,house,677,M000199,Thomas,Ellsworth,Martin,,1893-01-18,12,IA,2,R,Yes,1/3/1947,54
778,80,1,house,678,B000999,Joseph,Raleigh,Bryson,,1893-01-18,40,SC,1,D,Yes,1/3/1947,54
779,80,1,house,679,G000102,Leon,Harry,Gavin,,1893-02-25,38,PA,2,R,Yes,1/3/1947,53.9
780,80,1,house,680,W000668,Jesse,Paine,Wolcott,,1893-03-03,21,MI,2,R,Yes,1/3/1947,53.8
781,80,1,house,681,R000140,Kenneth,Mills,Regan,,1893-03-06,43,TX,1,D,No,1/3/1947,53.8
782,80,1,house,682,H000284,Edward,Joseph,Hart,,1893-03-25,30,NJ,1,D,Yes,1/3/1947,53.8
783,80,1,house,683,G000472,Percy,Wilfred,Griffiths,,1893-03-30,35,OH,2,R,Yes,1/3/1947,53.8
784,80,1,house,684,K000170,Clarence,Evans,Kilburn,,1893-04-13,34,NY,2,R,Yes,1/3/1947,53.7
785,80,1,house,685,S000277,Paul,Werntz,Shafer,,1893-04-27,21,MI,2,R,Yes,1/3/1947,53.7
786,80,1,House,686,l000519,Georgia,Lee,Lusk,,1893-05-12,31,NM,1,D,No,1/3/1947,53.6
787,80,1,house,687,h000768,Clifford,Ragsdale,Hope,,1893-06-09,15,KS,2,R,Yes,1/3/1947,53.6
788,80,1,house,688,b000909,Clarence,J.,Brown,,1893-07-14,35,OH,2,R,Yes,1/3/1947,53.5
789,80,1,House,689,c000755,Jere,,Cooper,,1893-07-20,42,TN,1,D,Yes,1/3/1947,53.5
790,80,1,House,690,P000103,John,William Wright,Patman,,1893-08-06,43,TX,1,D,Yes,1/3/1947,53.4
791,80,1,house,691,J000225,Homer,Raymond,Jones,,1893-09-03,47,WA,2,R,No,1/3/1947,53.3
792,80,1,house,692,L000161,Jay,,Le Fevre,,1893-09-06,34,NY,2,R,Yes,1/3/1947,53.3
793,80,1,house,693,K000029,Robert,Winthrop,Kean,,1893-09-28,30,NJ,2,R,Yes,1/3/1947,53.3
794,80,1,House,694,S000067,Lansdale,Ghiselin,Sasscer,,1893-09-30,19,MD,1,D,Yes,1/3/1947,53.3
795,80,1,house,695,C000192,Henderson,Haverfield,Carson,,1893-10-25,35,OH,2,R,No,1/3/1947,53.2
796,80,1,House,696,B000237,Joseph,Bengal,Bates,,1893-10-29,16,KY,1,D,Yes,1/3/1947,53.2
797,80,1,House,697,G000316,Thomas,Sylvy,Gordon,,1893-12-17,13,IL,1,D,Yes,1/3/1947,53
798,80,1,House,698,D000354,John,David,Dingell,,1894-02-02,21,MI,1,D,Yes,1/3/1947,52.9
799,80,1,House,699,T000373,James,William,Trimble,,1894-02-03,3,AR,1,D,Yes,1/3/1947,52.9
800,80,1,House,700,P000261,James,Hardin,Peterson,,1894-02-11,9,FL,1,D,Yes,1/3/1947,52.9
801,80,1,House,701,W000108,Francis,Eugene,Walter,,1894-05-26,38,PA,1,D,Yes,1/3/1947,52.6
802,80,1,house,702,B000271,James,Glenn,Beall,,1894-06-05,19,MD,2,R,Yes,1/3/1947,52.6
803,80,1,house,703,L000537,Walter,Aloysius,Lynch,,1894-07-07,34,NY,1,D,Yes,1/3/1947,52.5
804,80,1,house,704,S000764,Katharine,Price Collier,St. George,,1894-07-12,34,NY,2,R,No,1/3/1947,52.5
805,80,1,house,705,H000640,John,Carl Williams,Hinshaw,,1894-07-28,5,CA,2,R,Yes,1/3/1947,52.4
806,80,1,house,706,M001114,Thomas,Jefferson,Murray,,1894-08-01,42,TN,1,D,Yes,1/3/1947,52.4
807,80,1,house,707,H000442,Erland,Harold,Hedrick,,1894-08-09,49,WV,1,D,Yes,1/3/1947,52.4
808,80,1,house,708,D000403,James,Isaac,Dolliver,,1894-08-31,12,IA,2,R,Yes,1/3/1947,52.3
809,80,1,house,709,R000214,James,Prioleau,Richards,,1894-08-31,40,SC,1,D,Yes,1/3/1947,52.3
810,80,1,house,710,S000437,Sidney,Elmer,Simpson,,1894-09-20,13,IL,2,R,Yes,1/3/1947,52.3
811,80,1,house,711,M000414,Gordon,Leo,McDonough,,1895-01-02,5,CA,2,R,Yes,1/3/1947,52
812,80,1,house,712,T000175,John,Parnell,Thomas,,1895-01-16,30,NJ,2,R,Yes,1/3/1947,52
813,80,1,house,713,O000056,Joseph,Patrick,O'Hara,,1895-01-23,22,MN,2,R,Yes,1/3/1947,51.9
814,80,1,house,714,M000724,Edward,Tylor,Miller,,1895-02-01,19,MD,2,R,No,1/3/1947,51.9
815,80,1,house,715,R000260,John,Jacob,Riley,,1895-02-01,40,SC,1,D,Yes,1/3/1947,51.9
816,80,1,house,716,B001161,Fred,Ernst,Busbey,,1895-02-08,13,IL,2,R,No,1/3/1947,51.9
817,80,1,house,717,L000052,Gerald,Wayne,Landis,,1895-02-23,14,IN,2,R,Yes,1/3/1947,51.9
818,80,1,house,718,C000317,Virgil,Munday,Chapman,,1895-03-15,16,KY,1,D,Yes,1/3/1947,51.8
819,80,1,house,719,S000676,Andrew,Lawrence,Somers,,1895-03-21,34,NY,1,D,Yes,1/3/1947,51.8
820,80,1,house,720,H000548,Christian,Archibald,Herter,,1895-03-28,18,MA,2,R,Yes,1/3/1947,51.8
821,80,1,house,721,H000678,Charles,Bernard,Hoeven,,1895-03-30,12,IA,2,R,Yes,1/3/1947,51.8
822,80,1,house,722,D000109,James,Curran,Davis,,1895-05-17,10,GA,1,D,No,1/3/1947,51.6
823,80,1,house,723,F000255,Aime,Joseph,Forand,,1895-05-23,39,RI,1,D,Yes,1/3/1947,51.6
824,80,1,house,724,E000119,Alfred,James,Elliott,,1895-06-01,5,CA,1,D,Yes,1/3/1947,51.6
825,80,1,house,725,H000217,Forest,Arthur,Harness,,1895-06-24,14,IN,2,R,Yes,1/3/1947,51.5
826,80,1,house,726,P000475,C.,Norris,Poulson,,1895-07-23,5,CA,2,R,No,1/3/1947,51.4
827,80,1,house,727,F000404,Hadwen,Carlton,Fuller,,1895-08-28,34,NY,2,R,Yes,1/3/1947,51.3
828,80,1,house,728,V000003,Richard,Bernard,Vail,,1895-08-31,13,IL,2,R,No,1/3/1947,51.3
829,80,1,house,729,G000135,Charles,Lewis,Gerlach,,1895-09-14,38,PA,2,R,Yes,1/3/1947,51.3
830,80,1,house,730,A000216,Leslie,Cornelius,Arends,,1895-09-27,13,IL,2,R,Yes,1/3/1947,51.3
831,80,1,house,731,D000360,Everett,McKinley,Dirksen,,1896-01-04,13,IL,2,R,Yes,1/3/1947,51
832,80,1,house,732,J000086,Mitchell,,Jenkins,,1896-01-24,38,PA,2,R,No,1/3/1947,50.9
833,80,1,house,733,R000002,Benjamin,J.,Rabin,,1896-06-03,34,NY,1,D,Yes,1/3/1947,50.6
834,80,1,house,734,V000119,John,Martin,Vorys,,1896-06-16,35,OH,2,R,Yes,1/3/1947,50.5
835,80,1,house,735,T000198,Clark,Wallace,Thompson,,1896-08-06,43,TX,1,D,No,1/3/1947,50.4
